BUILDING.ID,pred_elec_cost_saving_ACOPT
370244899060,14586.407113423300
378702892165,39577.15521081010
379072892713,80107.63943658260
379328891539,71769.11861319290
381005916882,24227.605678058200
381639900770,17774.339081566800
381980890380,40303.16858717610
382479888785,6538.490036766760
383377902547,20050.53520865530
383508891239,10167.453587897200
389347907548,4324.2576618105500
392323906596,21291.345198452700
394040910048,75641.61408478610
395154885837,10610.91612762880
403510882745,15893.938842261400
416331879648,8967.841091685680
419580823238,23910.83688102560
420463899029,4880.778726349560
420742839524,24644.58661889950
420991900560,7011.792369689820
427427868956,9397.392781388660
430216836027,4316.886701541280
430831838865,4955.407677723310
431756832236,10048.090808981000
432026832144,8105.395066047390
432940813909,51426.45974392860
436274875405,18159.44173872100
437292895970,38814.20321001640
438112897550,4837.00227184545
441384807466,7570.59726794486
444128896966,32311.14433451840
444996805746,5224.29480998256
445467889073,26876.7009316044
445669895262,39165.04960360490
446679807826,16334.849655947300
447757849048,8540.93263887662
447978849777,30414.041473661100
449399891254,42168.439769211600
453801830600,5468.180658552330
456558845309,6213.730161259060
457359858295,7176.967637574600
457906859706,54637.54719371280
462016818420,9101.55450395833
463310858794,17842.003853170100
466703917206,15852.238497917900
467409736593,16095.50224609870
467890843439,12388.247715587600
467913749199,6516.4983992999
468187843022,6117.515291303730
469318858071,10614.369715736900
470261841733,8710.033742873350
472938826717,16475.388549758400
473600855935,22682.457233920000
475660789684,12982.326948062700
478019842830,3192.8640618560400
478669911672,6604.300678809600
481352834057,24177.158298132300
483517835306,10007.342160433900
484712839477,28226.915536854800
484827838704,12316.954950273800
484909831704,31872.228113071700
485012837905,3423.419669785360
485167839050,22829.860987445300
485840833736,5814.903324445480
486962839399,3226.4097037639100
489357839995,6754.818118326040
490498863361,9508.444583942850
492934866245,12050.209989987600
493537867216,12318.644364357400
494218850770,49159.16774680950
506565864343,8422.612911376650
999000000128,13772.341487692000
999000000286,55974.46103650730
999000000291,40611.341354047500
999000000327,35025.296728670800
999000000378,38812.038644478900
999000000444,75342.84113151650
379592888001,242326.86238217400
380388902613,35963.65222798870
381320910314,21140.725061327500
381330910169,22394.91390404230
381339909702,25586.887148062300
381840910625,21444.77231451840
382166909827,14586.01893284600
382270908470,43751.98695751980
382281907913,19811.43089257950
382683907950,14012.541410842700
382822907508,14575.402852741400
383603911046,26338.528848859300
384512909578,14088.243282640000
386607907896,8028.253074222190
405711881767,23034.895907772500
412548894732,7703.264252808120
420442879452,546587.7515907170
425370889227,13708.194493433
425548839070,29955.317900615500
426607843742,315008.34924849600
426738838446,25424.67450241300
427094835618,298481.3185730890
428158835557,10031.36904752990
429751923699,23090.956928168200
435172844277,278262.68556683100
435226843421,400064.2213915910
435482845065,321103.4110315990
435518844653,317185.59308581200
435955844002,404551.7440745130
436323844287,587484.0639917980
436341842530,435181.11332777200
442593910721,11571.893226641800
442871910523,10379.085506198200
447446829420,21640.208047926800
447533873733,11869.989844385000
447737802508,37482.66653871380
450696884785,18937.910245046900
452171872920,400954.47079864700
454615845120,264749.25130039200
455197870572,24102.676041186100
460902830465,23591.48333862600
469241756568,15293.304576349200
472597746219,5142.456098930690
474401845417,9021.165394084690
478641843437,32531.82463472720
478907841613,17392.491837334200
481217850636,19524.00889747940
481985840971,301362.3616840040
482022839527,368925.92077561900
482117741297,9654.672987760090
482355839896,239832.07731280200
482388842442,10408.176019045700
482490840118,538316.2389513770
482677840429,489305.9395679300
482791836625,269528.7780839000
483130840965,547566.9059151390
483672841146,1887792.2267961100
483765841835,385254.6398051430
483789840364,652181.0249340030
484289840584,327685.75189764100
484411841271,529122.4974239830
484837841207,381576.6931280350
484947840722,764749.658666624
484957841994,848987.662581668
