,BUILDING.ID,building.type,year.built..year.,floor_area,baseline.annual.site.energy.use.intensity..kWh.m2.,floor_area_2,predicted_cooling_capacity_tons
2092,420742839524,Retail,1990s,67916,110.4,4612583056,3.886887
2102,429426844878,Multi Family House,1950s,124740,42.8,15560067600,1.2964870000000002
2129,426607843742,Office,1970s,636803,60.9,405518060809,2.579639
2150,432634847225,Multi Family House,1950s,65130,58.2,4241916900,1.040276
2171,425548839070,Office,1990s,53760,26.8,2890137600,9.292388
2216,428158835557,Office,1960s,26708,0.0,713317264,7.076625999999999
2217,427094835618,Office,1980s,627899,16.6,394257154201,1.477501
2220,426738838446,Office,1990s,36162,39.9,1307690244,9.506903999999999
2223,430216836027,Retail,1950s,15500,46.8,240250000,2.7150119999999998
2228,435482845065,Office,1970s,645031,68.6,416064990961,2.510776
2231,435518844653,Office,1960s,651278,43.5,424163033284,1.482407
2303,432026832144,Retail,1950s,28235,49.7,797215225,3.2564450000000003
2361,432940813909,Retail,1990s,162788,53.1,26499932944,3.095632
2400,446679807826,Retail,1960s,49719,74.9,2471978961,2.884937
2401,444996805746,Retail,1990s,13062,66.4,170615844,1.161836
2405,441384807466,Retail,1950s,28678,41.5,822427684,2.8944520000000002
2411,475660789684,Retail,1970s,49788,33.0,2478844944,1.609648
2425,469241756568,Office,1960s,22797,25.6,519703209,9.947212
2430,482117741297,Office,1990s,9639,27.2,92910321,5.900468
2433,467409736593,Retail,1990s,47810,78.9,2285796100,2.0160970000000002
2434,999000000291,Retail,1990s,132354,50.6,17517581316,2.548701
2469,447737802508,Office,1990s,74700,18.9,5580090000,9.959871000000001
2491,472597746219,Office,1990s,7703,14.1,59336209,4.7449069999999995
2500,508239854278,Office,1990s,28812,9.6,830131344,5.600642
2514,442871910523,Office,1990s,7500,33.4,56250000,6.316185
2516,435172844277,Office,1960s,565062,52.8,319295063844,6.641619
2518,453648848094,Multi Family House,1990s,134530,106.7,18098320900,1.171941
2579,419580823238,Retail,1960s,75496,72.4,5699646016,3.5069660000000002
2580,455025846874,Multi Family House,1950s,192306,60.8,36981597636,2.324815
2585,456068846454,Multi Family House,1990s,31286,207.7,978813796,2.2967020000000002
2587,456107846341,Multi Family House,1990s,18306,290.7,335109636,6.904872
2605,999000000444,Retail,1970s,229213,40.3,52538599369,4.839678
2610,490080842381,Office,1990s,541704,46.5,293443223616,5.528995
