BUILDING.ID,pred_energy_cost_saving_ACOPT
370244899060,14556.902629965109
378702892165,39246.94764677308
379072892713,78526.36028526246
379328891539,70655.46412915424
381005916882,24286.45312759025
381639900770,17617.281587279027
381980890380,39902.547330422814
382479888785,6602.559284029846
383377902547,20084.66373472026
383508891239,10144.400896417808
389347907548,4333.95020022277
392323906596,21211.631881353576
394040910048,74236.8944855053
395154885837,10715.39906724742
403510882745,15778.567274756386
416331879648,8998.251183883283
419580823238,23877.415250371676
420463899029,4910.071117912232
420742839524,24712.181402170583
420991900560,7120.471373264465
427427868956,9472.589336112964
430216836027,4397.878173781947
430831838865,4969.53126543751
431756832236,10084.259423087415
432026832144,8173.386709727137
432940813909,50781.41731828921
436274875405,18236.605775052703
437292895970,38309.16656374772
438112897550,4834.127328247677
441384807466,7622.6769626826635
444128896966,32176.03746670258
444996805746,5343.955783775341
445467889073,26970.830271159884
445669895262,38767.291436591215
446679807826,16398.86117949874
447757849048,8661.204595050885
447978849777,30232.78728414258
449399891254,41772.73270695175
453801830600,5565.965534712683
456558845309,6287.302954313097
457359858295,7145.064559110173
457906859706,53770.88659442893
462016818420,9234.975747484323
463310858794,17785.17720489083
466703917206,16071.726826349533
467409736593,16172.361892160963
467890843439,12299.177498609675
467913749199,6566.394534415252
468187843022,6201.707524735739
469318858071,10749.971138023493
470261841733,8751.80260201899
472938826717,16524.988864693554
473600855935,22783.003928818664
475660789684,12968.882875575015
478019842830,3206.3267950255745
478669911672,6692.34794086849
481352834057,23985.875019112078
483517835306,9982.645597930748
484712839477,28129.298619463414
484827838704,12235.178659271975
484909831704,31686.26970047242
485012837905,3407.386076374536
485167839050,22600.024068835042
485840833736,5787.615511298546
486962839399,3217.0120965634114
489357839995,6807.014660974945
490498863361,9620.90282369567
492934866245,12130.8213517779
493537867216,12451.192637973385
494218850770,48543.28854656647
506565864343,8565.33218492476
999000000128,13816.441463280717
999000000286,55219.93251949092
999000000291,40208.4025560042
999000000327,34578.70594546017
999000000378,38479.02997142356
999000000444,73965.13631155455
379592888001,251275.99157298918
380388902613,37249.61103845467
381320910314,21324.253794246702
381330910169,22628.80676813871
381339909702,26075.90897079189
381840910625,21591.55628840246
382166909827,14830.164434942886
382270908470,45572.791326843006
382281907913,20482.435000359517
382683907950,14479.049975811018
382822907508,14825.310403072697
383603911046,27052.683140805904
384512909578,14469.555233317635
386607907896,8346.863970431967
405711881767,23927.279801582335
412548894732,7989.351823531746
420442879452,564751.4432145872
425370889227,13945.96041300499
425548839070,30814.65525443224
426607843742,326278.4054463271
426738838446,25889.77942674117
427094835618,309769.774473663
428158835557,10460.2352865284
429751923699,23539.00224756763
435172844277,288359.976989881
435226843421,414126.93460182037
435482845065,332480.87518407375
435518844653,328760.5461410748
