BUILDING.ID,pred_elec_cost_saving_CDI
389348000000.0,8217.463542090060
438113000000.0,7794.2556988019300
420464000000.0,9222.491967341950
381640000000.0,47976.49551510310
383509000000.0,22665.81724906810
403511000000.0,40113.27409994340
457360000000.0,16158.991445228900
486963000000.0,5281.613765938990
484828000000.0,0.0
485013000000.0,7503.682280451720
485168000000.0,70296.12444180400
483518000000.0,21218.21379461380
478020000000.0,5545.604480470580
467891000000.0,32954.48526250310
485841000000.0,9965.732417387280
430832000000.0,18068.196399604600
430217000000.0,12448.871679481000
477466000000.0,321537.13120313300
420885000000.0,209146.65586293800
404738000000.0,353872.2204339380
382282000000.0,375206.8729373770
382271000000.0,964412.9942132380
382167000000.0,194247.54423137500
378417000000.0,202241.66388466200
389704000000.0,792717.0116367840
390575000000.0,876581.2627142030
384513000000.0,234408.5650539840
386608000000.0,124926.11484025400
382684000000.0,261311.29363136700
382823000000.0,195825.742816093
442594000000.0,89983.5667282005
450697000000.0,404721.12604413700
423196000000.0,247988.3075628830
422186000000.0,340640.548959504
426220000000.0,283617.44728305400
420512000000.0,238772.3040176490
412549000000.0,0.0
382858000000.0,220717.38186095800
382567000000.0,246438.41388299200
382544000000.0,209898.66080477600
382115000000.0,188541.79489878100
397871000000.0,289333.77383411300
405712000000.0,474689.1342657440
421855000000.0,334700.9478532990
447534000000.0,190111.1514188560
485868000000.0,229626.9152720680
461544000000.0,199157.7589335300
475489000000.0,68711.08634966260
493191000000.0,221142.73884416800
489881000000.0,128209.32440947800
490959000000.0,1559460.6166441100
492141000000.0,1867642.5005991600
484895000000.0,429384.1068390770
484465000000.0,642380.8564834480
487567000000.0,0.0
482353000000.0,176722.28576208100
483925000000.0,92509.12163846380
484210000000.0,203690.9034556610
475821000000.0,562251.5091202140
476715000000.0,186128.98674650600
482389000000.0,150845.33292013200
476000000000.0,201268.94349452500
478908000000.0,321389.60638148600
457985000000.0,278304.6453662910
474402000000.0,184520.9024360390
467473000000.0,257917.466389102
467051000000.0,250306.11058835400
456347000000.0,192374.24900931200
450886000000.0,825362.3881040520
476699000000.0,631994.1703493080
460903000000.0,516432.794118777
447447000000.0,457416.84504494300
486683000000.0,125830.89360675000
427635000000.0,197859.27968745000
428159000000.0,216707.62663653500
427797000000.0,239507.43264277200
435121000000.0,474650.67101005300
441968000000.0,362509.8269413570
441667000000.0,231255.74775376400
469242000000.0,203573.19895128900
482118000000.0,73611.24671170360
472598000000.0,38083.39723367740
508240000000.0,248056.07726603900
442687000000.0,384754.5045075510
442872000000.0,58032.8109346376
564877000000.0,216458.23636653700
380717000000.0,344067.7808110620
474609000000.0,256.51532956271800
474881000000.0,152.5779260217840
476742000000.0,185.75633790435700
465468000000.0,122.76769530170000
470384000000.0,155.94092730656800
438179000000.0,133.04810558837700
440506000000.0,80.57771360065700
434200000000.0,264.6597973792760
430454000000.0,806.6272257484050
432472000000.0,159.6157598124880
429439000000.0,236.23980539325900
429166000000.0,344.05116481835700
412482000000.0,254.30997957022800
411630000000.0,294.2456846212460
410816000000.0,127.04077078473700
381572000000.0,330.500419343697
383625000000.0,281.2736189285330
382387000000.0,148.0017458593230
382941000000.0,298.0438610793440
382816000000.0,111.72284702637100
400142000000.0,200.2315780242090
399052000000.0,248.27162170008900
399204000000.0,183.85386196576200
400196000000.0,322.91803803258300
395979000000.0,294.1259917619380
394742000000.0,259.5814388358900
396799000000.0,46.518120525853500
419072000000.0,292.6407198758290
419371000000.0,0.0
421791000000.0,303.61521177746500
420780000000.0,300.04358092327200
420902000000.0,337.0538911436900
420517000000.0,250.38601627254400
422504000000.0,246.98915504206800
425420000000.0,0.0
425306000000.0,217.0875368076510
426078000000.0,288.43189354406600
423899000000.0,206.23463993585900
424664000000.0,140.74251579181400
423030000000.0,177.8144704855480
424503000000.0,318.7731340654770
424398000000.0,0.0
423936000000.0,0.0
423976000000.0,310.06799229499200
424155000000.0,135.69450104676100
424376000000.0,301.56566920405700
424427000000.0,251.41202558801700
424466000000.0,78.89231460526730
431546000000.0,55.82144271050240
431983000000.0,173.86703450182300
441631000000.0,100.53124304489100
444596000000.0,301.57375757735100
433407000000.0,162.59556349771600
443911000000.0,370.2864702581860
444646000000.0,0.0
450182000000.0,288.9043216228270
432956000000.0,198.00177247655700
438969000000.0,104.3489183906700
443627000000.0,222.14159533573300
444013000000.0,154.477332495932
444926000000.0,668.6172725870000
438272000000.0,318.41974235259600
431370000000.0,251.15429669914500
436616000000.0,244.12665388057900
434434000000.0,186.31234623232800
434778000000.0,273.8159145451570
437004000000.0,439.9165802322120
436636000000.0,273.5672342387210
436601000000.0,327.5977130718740
436586000000.0,312.3055804679860
436386000000.0,218.8105528699490
440552000000.0,240.7332037274900
442704000000.0,243.83555179369900
442944000000.0,240.38963512228900
442857000000.0,338.249403525869
444250000000.0,543.00309292002
442584000000.0,326.4246390067390
446020000000.0,195.7460894709980
448605000000.0,259.67875320919200
