BUILDING.ID,pred_energy_cost_saving_ACOPT,pred_elec_cost_saving_ACOPT,pred_gas_cost_saving_ACOPT
370244899060,14556.902629965107,14586.4071134233,-29.50371807729522
378702892165,39246.94764677308,39577.155210810095,-330.205789012566
379072892713,78526.36028526246,80107.6394365826,-1581.276465072233
379328891539,70655.46412915424,71769.1186131929,-1113.6519435837054
381005916882,24286.45312759025,24227.605678058197,58.84842208278902
381639900770,17617.281587279027,17774.3390815668,-157.05642625332356
381980890380,39902.547330422814,40303.1685871761,-400.6194137824368
382479888785,6602.559284029846,6538.490036766761,64.06946388108308
383377902547,20084.66373472026,20050.5352086553,34.129391190485165
383508891239,10144.400896417808,10167.4535878972,-23.052116972319016
389347907548,4333.95020022277,4324.25766181055,9.692763427121674
392323906596,21211.631881353576,21291.345198452702,-79.71224436031612
394040910048,74236.8944855053,75641.61408478611,-1404.716965220105
395154885837,10715.399067247421,10610.9161276288,104.48327649187372
403510882745,15778.567274756386,15893.9388422614,-115.37062018520865
416331879648,8998.251183883283,8967.84109168568,30.410506581318394
419580823238,23877.41525037168,23910.8368810256,-33.420539115406704
420463899029,4910.071117912232,4880.77872634956,29.29260049041021
420742839524,24712.181402170587,24644.586618899502,67.59575703007171
420991900560,7120.471373264465,7011.792369689821,108.67913861395596
427427868956,9472.589336112964,9397.39278138866,75.19689473991801
430216836027,4397.878173781947,4316.88670154128,80.99152024285408
430831838865,4969.53126543751,4955.40767772331,14.123836103111856
431756832236,10084.259423087417,10048.090808981,36.16906759395975
432026832144,8173.386709727138,8105.39506604739,67.99193401160021
432940813909,50781.41731828921,51426.4597439286,-645.0402614547667
436274875405,18236.605775052703,18159.441738721,77.16476012015735
437292895970,38309.16656374772,38814.2032100164,-505.03475152354537
438112897550,4834.127328247677,4837.00227184545,-2.8746625745707317
441384807466,7622.676962682663,7570.59726794486,52.07999323607437
444128896966,32176.037466702583,32311.144334518398,-135.1054259505385
444996805746,5343.955783775341,5224.294809982561,119.66097427047184
445467889073,26970.830271159884,26876.7009316044,94.13034889935409
445669895262,38767.291436591215,39165.0496036049,-397.7563462521444
446679807826,16398.86117949874,16334.8496559473,64.01219738505036
447757849048,8661.204595050885,8540.93263887662,120.27214843410572
447978849777,30232.78728414258,30414.0414736611,-181.25274499787312
449399891254,41772.73270695175,42168.4397692116,-395.7051908911177
453801830600,5565.965534712683,5468.18065855233,97.78494917519691
456558845309,6287.302954313097,6213.73016125906,73.572969219325
457359858295,7145.064559110173,7176.967637574599,-31.902620559174107
457906859706,53770.886594428935,54637.5471937128,-866.6582900281979
462016818420,9234.975747484325,9101.55450395833,133.42143509904807
463310858794,17785.17720489083,17842.0038531701,-56.82572153825761
466703917206,16071.726826349532,15852.2384979179,219.48867676678654
467409736593,16172.361892160965,16095.502246098702,76.86028715911397
467890843439,12299.177498609675,12388.2477155876,-89.06943651833723
467913749199,6566.394534415252,6516.4983992999,49.89638360956818
468187843022,6201.707524735739,6117.515291303731,84.1923782900373
469318858071,10749.971138023493,10614.369715736899,135.6016898733166
470261841733,8751.80260201899,8710.03374287335,41.7692371847492
472938826717,16524.988864693554,16475.3885497584,49.60101961746198
473600855935,22783.003928818664,22682.45723392,100.54755064912372
475660789684,12968.882875575016,12982.3269480627,-13.44339778286402
478019842830,3206.3267950255745,3192.86406185604,13.462886955864956
478669911672,6692.34794086849,6604.3006788096,88.04742484202184
481352834057,23985.87501911208,24177.1582981323,-191.2819820155033
483517835306,9982.645597930748,10007.3421604339,-24.695991820243172
484712839477,28129.298619463414,28226.915536854798,-97.61562107644971
484827838704,12235.178659271975,12316.9549502738,-81.77552534438674
484909831704,31686.269700472418,31872.2281130717,-185.95692857669326
485012837905,3407.386076374536,3423.41966978536,-16.033356591045912
485167839050,22600.02406883504,22829.8609874453,-229.83561277652
485840833736,5787.615511298546,5814.9033244454795,-27.28742954254523
486962839399,3217.0120965634114,3226.40970376391,-9.397396538312652
489357839995,6807.014660974945,6754.81811832604,52.19679843986169
490498863361,9620.902823695671,9508.44458394285,112.45850223884743
492934866245,12130.8213517779,12050.2099899876,80.61181833057677
493537867216,12451.192637973383,12318.6443643574,132.5486345988833
494218850770,48543.288546566466,49159.1677468095,-615.877081272754
506565864343,8565.332184924759,8422.612911376651,142.71940442936685
999000000128,13816.441463280715,13772.341487692,44.100579152324656
999000000286,55219.93251949092,55974.4610365073,-754.5262448181667
999000000291,40208.4025560042,40611.34135404751,-402.93694797524597
999000000327,34578.70594546017,35025.2967286708,-446.58899889719726
999000000378,38479.029971423566,38812.0386444789,-333.0069099992049
999000000444,73965.13631155455,75342.8411315165,-1377.7021931302866
379592888001,251275.9915729892,242326.86238217397,8949.129990878617
380388902613,37249.61103845467,35963.6522279887,1285.9587934253175
381320910314,21324.253794246702,21140.7250613275,183.5279748896388
381330910169,22628.80676813871,22394.9139040423,233.89211245784955
381339909702,26075.90897079189,25586.8871480623,489.02125276616783
381840910625,21591.55628840246,21444.7723145184,146.7831537949396
382166909827,14830.164434942886,14586.018932846,244.1451315324548
382270908470,45572.791326843006,43751.9869575198,1820.8046886384063
382281907913,20482.435000359517,19811.4308925795,671.0040466115347
382683907950,14479.049975811018,14012.5414108427,466.5085104706408
382822907508,14825.310403072695,14575.4028527414,249.90718775264503
383603911046,27052.683140805904,26338.528848859303,714.1539799958739
384512909578,14469.555233317637,14088.24328264,381.31178182049337
386607907896,8346.863970431967,8028.25307422219,318.61093124964594
405711881767,23927.279801582335,23034.8959077725,892.383969723908
412548894732,7989.351823531746,7703.264252808121,286.08757882762524
